username,location,description
@elect_solution,indonesia,perusahaan ritel elektronik terbesar dan terlengkap di indonesia   call center: 1500819   sms: 0818 100 019   fb: electronic solution
@euniceapril,bali,"jangan tanya ""kak minta rekomendasi dong"" gakan dijawab ðÿ™   ig: tarinaminusta"
@priscillatiff20,,
@OlgaLy_DIA,jakarta,a bubbly bubble now producing musical movie coming soon in theaters  contact person   management +62 811 811 0022  instagram : olgaly dia
@IndianEmbJkt,gama tower  jakarta,official twitter account of indian embassy in jakarta indonesia  https:  t co kcdxjhru8u
@budakkoloran,indonesia,sebenernya plesetan dari budak korporat tapi malah dikira budak bdsm
@BayJat_,i you,smansasi   simfone
@davira,melbourne  victoria ,an optimist yet realist person 
@rakadinza,jakarta selatan  dki jakarta,a guy who brews tea in the morning learns the violin at lunch talks to the guitar at dinner  still trying to finish my first instrumental album 
@genpinews,indonesia,ceria dan informatif! menyajikan informasi dan berita seputar destinasi kuliner budaya yang ada di indonesia  ayo gabung di https:  t co idgtyh7umv
@felicyangelista,@hitocaesar's   #felicyaddict,actress   singer from indonesia  instagram : @felicyangelista  cp manager : 081808001199 whatsapp only 
@airasur,,
@bobcretia,jakarta capital region,juventus
@khadijahmuhdor,jakarta  indonesia,continously learn and unlearn  may or may not observe your behavior in silence   she her 
@ilmanibrahim,jakarta  indonesia, keys of maliq   d'essentials   @maliqmusic   @organicrecords   @laleilmanino   @pophariini   cp: 0817868655 aji   instagram: @ilmanibrahim
@Fiohnel,,i should be drawing but instead i just retweet random stuffs
@BEMFKMUI,depok  indonesia,akun resmi bem im fkm ui   sinergikan asa ciptakan makna   surel: bemfkm@ui ac id   line: @bemfkmui   narahubung: +6281388267313  naila 
@AbdulKharisA,solo   jakarta,akun silaturahim dan media informasi anggota dpr ri  wakil ketua komisi i  abdul kharis al masyhari   dapil v jateng surakarta - sukoharjo - boyolali - klaten
@IMurtito,,just a normal guy who like tech
@RamaRamsati,yogyakarta  indonesia,rama ramsati has begun his career as local dj in 2014 under abstractical dj school  house and progressive became his preferred music genre 
@aditramr,üt:  6 3160707 106 7330369,working hard or hardly working? secrationâ²âºâ¹â¹ and #nipam22 
@kabarblackpink,blλɔkpiиk in your area, official  kabar @blackpink fanpage â™•
@OPPOIndonesia,indonesia,oppo adalah merek perangkat pintar global terkemuka  misi kami membuat para pengguna menikmati keindahan teknologi terkini 
@atiqahhasiholan,indonesia,contact @adik07 or +62 8161925522
@audifebrinza,,alhamdulillah
@LauraBas,,
@cfds_ugm,yogyakarta  indonesia,center for digital society is a research center at fisipol ugm  our key research areas include digital policy and socio-economic impact of digital technology 
@Dhiniyunitas_,javanese,an introvert who's tryna become extrovert
@DishubDKI_JKT,dki jakarta  indonesia,akun resmi dinas perhubungan provinsi dki jakarta  dikelola oleh tim humas dan publikasi 
@lanakurindu,jakarta capital region,bisa nulis ga pinter mengutarakan 
@Hardosinaga,,
@Kartu_As,indonesia,akun resmi kartu as dari @telkomsel   customer service: 188 atau cs@telkomsel co id
@gramedmatraman,jakarta timur,gramedia matraman operasional pukul 09:00 s d 21:30 wib ðÿ¢ jl matraman raya 46-50 jakarta timur â˜žï¸ 021-8581763 ðÿ“² 0821-1453-6964 ig: @gramediamatraman
@comifuro,indonesia,comic frontier is an exhibition for creative works in indonesia join our discord server https:  t co ubdgwnfbbq cfv1 17 18 july 2021
@DenadiaMutty,,
@Dyntamvan,hadirat yang maha kuasa,living degenerate  -zweilo-
@AlvaroMaldini1,,get up show up never give up 14400-01-0001
@penpemes,bogor  jawa barat,naha sich
@HananAttakiLc,,
@officialULM,south borneo  indonesia,akun resmi universitas lambung mangkurat  dikelola oleh humas universitas lambung mangkurat 
@ibnujamilo,üt:  6 261163 106 799083,sportscaster rcti spiritual journey of football
@anggerdimas,indonesia,chief of @cosmonoterecs - your musicbox - inquiries : fazharputra10@gmail com
@DeymasD,papua barat,
@Wendysindo,indonesia,quality is our recipe  that's our secret to make you falling in love with wendy's  #wendysindonesia
@hanifafk,the twilight zone,emotionally distant nurse ðÿµ
@arinnugrahani,indonesia,
@farahbdr,,akun ini isinya ngomongin drakor receh misuh dan sambat
@kemenkumham_ri,jakarta,akun twitter resmi dikelola oleh tim biro humas hukum dan kerja sama kementerian hukum dan hak asasi manusia republik indonesia
@Lenovo_ID,indonesia,the best pc company! for consumer   commercial products bebas pulsa  toll-free  : 007 809-331-5108 8 30 wib - 17 30 wib senin-jumat
@andritany,jakarta,tidak pernah selangkah pun untuk mundur mengejar tujuan cita-cita dan mimpi  
@ardyaaW,warmnessonthesoul,everything has changed    ig snapchat: ardyaw
@ChelleLin_,korea,
@nurrhayatii,pondok bambu jakarta timur,selalu mengandalkan tuhan^d3 aa yai'13 salemba
@BimaAryaS,üt:  6 589161 106 834837,walikota bogor #welovebogor
@DJRachbini,jakarta,rector universitas paramadina professor in economics indef mp 1998 mp 2004-09 ken - adviser to the president 2009-14 https:  t co aiyjmfioha
@Hengkychova,,actor director producer enterpreneur   production house eo wo   pt  bintang kawakibi production https:  t co 3yaw15hcrh   cp 08111800750 adi
@heraalfa,indonesia,ambarawa - jogja - jakarta
@djikp,kemitraan@kominfo go id,akun resmi direktorat jenderal informasi dan komunikasi publik  unit kerja @kemkominfo  https:  t co e8wowmckka   https:  t co jlkybeznkf   https:  t co oh5vcdgm0t
@abdrfrief,,csui '18
@blanjacom,jakarta selatan  dki jakarta,yuk blanja berbagi rasa dan buat perubahan sekarang juga karena #blanjabikinbangga   telepon:  021  80667878   email: support@blanja com
@AmriandriA,jakarta city,criminology at university of indonesia   proud to be indonesian   ynwa
@alvinlie21,jakarta  indonesia,public policy public service aviation soccer photography   food
@hermawan_devina,indonesia,official tefal brand ambassador - indonesia ðÿ‡®ðÿ‡© **this account is managed by admin**
@Bagus_akbarr,,
@JustOneMoreLin1,,just some random dude likes to code 
@fluzail,lhoksukon   indonesia,civil engineer unsyiah : @sipilunsyiah13   teknisi pc   editor   designer   beat maker   rapper of @luhop   http:  t co myzjvueznx   pin 7586e673   ig fluzail
@Ari_lasso,,#arilasso #alassgig #arilasshow
@bebelbelinda,,î¨
@HaedarNs,yogyakarta  indonesia,ketua umum pimpinan pusat muhammadiyah â€¢ haedar nashir@muhammadiyah id â€¢ akun ini dikelola oleh tim website muhammadiyah
@PriyoBudiS,indonesia,direktur studi demokrasi   konstitusi  studes  waketum icmi wk ketua dpr-ri 2009-2014 ketua umum lembaga karatedo indonesia 2010-2015
@chrissyichi,indonesia,daughter of jesus  23  chemistry graduate of universitas indonesia  dancer
@rtcuifm,gedung pusgiwa lt  7  ui,your favorite student radio in town!   media partner: rtcuifm marcomm@gmail com   music demo: musicrtcuifm@gmail com
@fotokitanet,jakarta,akun twitter resmi https:  t co cjhpuwdmo0 komunitas fotografi tempat berkarya berbagi bermakna  untuk kerja sama silakan email ke kontak@fotokita net
@EffendyReyzal,lampung  indonesia,kapan aku berguna ?
@bayoe_89,,believe in your self and all that you are  know that there is something inside you that is greater than any obstacle  ~ christian d  larson
@Helmy_Faishal_Z,nkri bentuk final,pengagum   pecinta nabi muhammad saw   nkri harga mati   warga nahdlatul ulama   ayah dari asya   azza   notoatimu@yahoo com
@PPPemudaMu,jakarta capital region,organisasi pemuda muhammadiyah   bersama membangun pemuda indonesia   berdiri sejak 2 mei 1932
@hasief,south of jakarta and beyond,perpetual oddball  12+ years writing reviewing translating for rolling stone indonesia current position is probably fetal  available for freelance work 
@ItsRR,indonesia,singer actor writer student  ig : ridho rhoma contact person : 087722096338
@ridwankamil,jabar juara indonesia,governor of west java  broadcaster of daily happiness
@PBPRSI,dki jakarta  indonesia,pengurus besar persatuan renang seluruh indonesia   ketua umum: @anindyabakrie   â˜žï¸sekretariat 021 57930572
@_TNIAL_,indonesia,this is the official indonesian navy twitter account ðÿ‡®ðÿ‡© facebook: dispen al instagram: tni angkatan laut youtube: tni angkatan laut #indonesiannavy #tnial
@nurdinabdullahh,south sulawesi  indonesia,akun resmi gubernur sulawesi selatan
@jawapos,gedung graha pena lt 10  jl  raya kebayoran lama no  12  kebayoran lama  jakarta selatan  indonesia 12210,official twitter account jawa pos the biggest newspaper in indonesia i baca terus koran jawa pos klik https:  t co zqilbgpp2b
@infomasukPTN,,update info sbmptn-snmptn 2021   follow instagram : @infomasukptn
@Albinsyh,,
@BNPB_Indonesia,graha bnpb   ina drtg,akun resmi badan nasional penanggulangan bencana jl  pramuka kav 38 jaktim   humas@bnpb go id   bnpbhumas@gmail com i call center bnpb 117   #tidakmudik2021
@krdramafess,rules 👉🏻,menfess bot for sharing kdrama movies   cp: @baselaporan   owner: re   admin: ji   dey   operated by @suvpenbot   keyword   
@quinnfarah,indonesia,passionate cook mother traveller tv personality  living life to the fullest  work hardðÿ”¹play harderðÿ”¹workout even harder! antie +628170817374
@alexnoerdin,indonesia,
@gustihendy,üt:  7 3271 112 731687,#akuadalahdrum gigi   ligro trio drummer instagram @gustihendy facebook https:  t co 2lvwzohrsi web http:  t co fpvydioylo contact person : 081285000599
@jihanocta_,,
@Devandanii,bogor,born to be a gamers
@JakCloth,jakarta,jakcloth adalah brand event dan clothing yg sudah berdiri sejak tahun 2009
@jvtt99,,20â¬†  engðÿ‡ºðÿ‡¸ idnðÿ‡®ðÿ‡© mainly rts   usually will post random ramblings about my daily life and sometimes post art   fub free
@Bustomi_19,di bawah telapak kaki ibu,muliakanlah orang tuamu terutama ibumu   !!!
@IndihomeFiber,,[triple play] internet telephone interactive tv  support question and information follow @telkomcare or call 147
@KhulyatinDyah,,
@danydk_,jember,sapa saja dulu nanti juga pasti tau
@bijixsalak,mulfand but skz tbz number 1❤,manusia yang cita2nya banyak tapi hobinya rebahan  suka ngehype bxb gasuka bisa unfoll  hyunjeong jumil â¤  bisa bertambah seiring waktu 
@cellacovers,,digital marketer  singer  rapper  lyricist  en id æ—¥æœ¬èªž ok!
@FurqonFajr,,
@HadiTaufiq1,,sosiolog harian lepas
@danurmw,,
@fcbarcelona_id,barcelona,selamat datang di akun twitter resmi klub fc barcelona versi bahasa indonesia  lebih dari sebuah klub  ðÿ‡®ðÿ‡©
@Rahadianurf,bandung  jawa barat,putune mbah man yang kuliah di kampus gajah
@C_NunuJKT48,bhumi arema,yang mau beli atau custom pembuatan poster bisa klik link yang ada di samping ini https:  t co ywt6ikza8y âœ¨âœ¨âœ¨
@MalukuPelita,moluccas  indonesia,stevanus fasse
@anggarulianto,jakarta  indonesia,sekarang di @rekatastudio  dulu pernah di @jurnalruang @muviladotcom
@bleketeketek,,nasi tim jamur for lyfe
@bacahorror,indonesia,media baca sejak 2018 hingga sekarang berisi berbagai macam kisah horror dari penulis amatir hingga professional  cek tab likes jika ketinggalan  #bacahorror
@Andhikawisnu21,,i know nothing about me
@TelkomIndonesia,indonesia,official account of telkom indonesia   untuk layanan customer silakan hubungi @indihome dan @telkomsolution 
@ganjarpranowo,jateng hebat,tuanku ya rakyat gubernur cuma mandat     ganjarpranowo@yahoo com  ganjar gub@jatengprov go id   ig: ganjar pranowo
@29_inastasia,hanamachi,unordinary girl and special everyday ðÿ’® cosplay ðÿœ visual communication ðÿž“ isbi 2013 ðÿœ worldcos : inastasia instagram : 29 inastasia
@27ff42f232584a4,,
@akbar_ziio,jakarta   indonesia,this is my original account my instagram â» ziio akbar
@BEMPsikoUI,,akun resmi bem fakultas psikologi universitas indonesia  narahubung: 081382015050  ghina  bempsikologiui@gmail com
@petrabarus,jakarta,in a mission to help builders to invent on behalf of their customers  developer advocate at @awscloud for indonesia  my opinions are my own not my company 
@davehendrik,üt:  6 257039 106 799582,#diarydave is #lookgood #feelgood #dogood   cp : email : judiwati24@gmail com  
@GunturPuti,jakarta capital region,akun resmi puti guntur soekarno  anggota dpr ri 2014 - 2019   a 166  daerah pemilihan jawa barat x  ciamis kuningan banjar pangandaran  fraksi pdi-p #pgs
@nindafzh,,
@mainbasket,,indonesia jawara basket dunia!
@disaugusting,,bismillah banyak duit 
@angelo_mikha,jakarta  indonesia,singer songwriter producer  contact : +62 812 12507857   1 3 of @theovertunes   amateur and lover out now
@KancutKeblenger,sekancutraya,komunitas blogger kreatif indonesia  ex kancut keblenger 
@ismailmail1,,
@Official_SYR,üt:  6 907842 107 608742,the @official syr we support @princessyahrini :* â™¥  instagram  : official syr new
@DepokTownSquare,depok  jawa barat,mall terbesar   terlengkap di kota depok jl  margonda raya no 1 beji - depok telp  021 7887 0101 instagram @depoktownsquare path   fb fan page depoktownsquare
@arkanrahman,,https:  t co xahrtulnph   https:  t co tsnl4y2bt7   jakarta - bogor - bandung   feui 18
@GeneralMoeldoko,indonesia,panglima tni  2013-2015  ketua umum hkti kepala staf kepresidenan
@LKPP_RI,jakarta selatan  dki jakarta,akun resmi lembaga kebijakan pengadaan barang jasa pemerintah  lkpp    pelayanan ppid  https:  t co ajzxbyy92f  â€” dikelola oleh humas lkpp
@furrycitra,,
@aminded,,
@adhe_vedder,papua indonesia,kuli bangunan pekerja kasar still rock n roll
@fahmi_rijal17,banjarmasin,mahasiswa fkip kimia unlam '12 asli orang nagara
@polsekngawi11,,
@ChatimeIndo,indonesia,the freshness brewed tea try our refreshing bubble tea puddings smoothies n many more  good tea good time  follow us! ë˜ú¡ë˜ 
@anandanabillah,palembang,a hardcore
@prabowo,indonesia,menteri pertahanan republik indonesia 
@Aldi_9,,#viscabarca   tech enthusiast aldik541@gmail com
@ochannelupdates,jakarta  indonesia,member of emtek   #homeoffuntasticsport nonton gaes! semifinal-final #vnl2021 live di ochannel streaming link di bawah gaes https:  t co khdcmztuhy
@raffiahmadlagi,,
@jessicalioe,jakarta   indonesia,great stalker  love dance and musics  bieberchance  benzersixcrew   proud to be me : 
@tuitKJS,jakarta selatan dan sekitarnya,akun resmi komunitas sepeda kjs  untuk teman sahabat dan keluarga kjs
@achmad_shafiq,kuala tungkal,think like a proton and stay positive     : 
@ewin_akhmad,jakarta,the next auditor and tax consultant
@dindakirana304,,official twitter page of dinda kirana s    ig : dindakirana s
@kellytandiono,,
@haniifa,,ã‡np13
@aboebakar15,jakarta  indonesia,pelayan rakyat  anggota dpr ri komisi iii 
@dinopattidjalal,üt: 43 020813  76 13725,former ambassador to usa now entrepreneur   analyst   activist  advocate of truth not power  a nationalist   internationalist  a dreamer a thinker a doer
@armandojordy,the netherlands,indonesian actor
@GadgetGaul,indonesia,tempat magang hampir semua tech youtubers indonesia angkatan awal  contact : info@gadgetgaul com
@alighiffar,indonesia,karya dan kekaryaan
@dhikacungkring,üt:  6 296833 106 776257,
@cellinemeliana_,,cp : @meialwie  meirina  0812 81022637
@abima120,bekasi pondok gede permai,
@IMTIFTUI,depok  indonesia,ikatan mahasiswa teknik industri ftui 2018 #ingenious cp: erwin  081380895149    putri  085695881887    rayi  08990043674 
@potretlawas,,berbagi potret dan cerita  menziarahi dan mengobrolkan masa lalu mengingat kini  ðÿ“§ potretlawas@outlook com
